AIRAC_cycle,start_date,end_date
13,2014-12-11,2015-01-08
1,2015-01-08,2015-02-05
2,2015-02-05,2015-03-05
3,2015-03-05,2015-04-02
4,2015-04-02,2015-04-30
5,2015-04-30,2015-05-28
6,2015-05-28,2015-06-25
7,2015-06-25,2015-07-23
8,2015-07-23,2015-08-20
9,2015-08-20,2015-09-17
10,2015-09-17,2015-10-15
11,2015-10-15,2015-11-12
12,2015-11-12,2015-12-10
13,2015-12-10,2016-01-07
1,2016-01-07,2016-02-04
2,2016-02-04,2016-03-03
3,2016-03-03,2016-03-31
4,2016-03-31,2016-04-28
5,2016-04-28,2016-05-26
6,2016-05-26,2016-06-23
7,2016-06-23,2016-07-21
8,2016-07-21,2016-08-18
9,2016-08-18,2016-09-15
10,2016-09-15,2016-10-13
11,2016-10-13,2016-11-10
12,2016-11-10,2016-12-08
13,2016-12-08,2017-01-05
1,2017-01-05,2017-02-02
2,2017-02-02,2017-03-02
3,2017-03-02,2017-03-30
4,2017-03-30,2017-04-27
5,2017-04-27,2017-05-25
6,2017-05-25,2017-06-22
7,2017-06-22,2017-07-20
8,2017-07-20,2017-08-17
9,2017-08-17,2017-09-14
10,2017-09-14,2017-10-12
11,2017-10-12,2017-11-09
12,2017-11-09,2017-12-07
13,2017-12-07,2018-01-04
1,2018-01-04,2018-02-01
2,2018-02-01,2018-03-01
3,2018-03-01,2018-03-29
4,2018-03-29,2018-04-26
5,2018-04-26,2018-05-24
6,2018-05-24,2018-06-21
7,2018-06-21,2018-07-19
8,2018-07-19,2018-08-16
9,2018-08-16,2018-09-13
10,2018-09-13,2018-10-11
11,2018-10-11,2018-11-08
12,2018-11-08,2018-12-06
13,2018-12-06,2019-01-03
1,2019-01-03,2019-01-31
2,2019-01-31,2019-02-28
3,2019-02-28,2019-03-28
4,2019-03-28,2019-04-25
5,2019-04-25,2019-05-23
6,2019-05-23,2019-06-20
7,2019-06-20,2019-07-18
8,2019-07-18,2019-08-15
9,2019-08-15,2019-09-12
10,2019-09-12,2019-10-10
11,2019-10-10,2019-11-07
12,2019-11-07,2019-12-05
13,2019-12-05,2020-01-02
